country_name,anxiety_disorders_%
Republic of Korea,3.7864065766334534
Kingdom of Bahrain,4.6795023168836325
Republic of Chile,6.245018192699978
State of Qatar,4.435598049845014
Kingdom of Norway,7.637363399778094
"Nation of Brunei, Abode of Peace",3.6084479774747575
Hellenic Republic,5.75830272265843
Republic of Iceland,5.285206692559378
Republic of Finland,3.7310606156076704
Kingdom of Denmark,5.31358391898019
Republic of Mauritius,3.2984076057161604
Republic of Croatia,3.450920675482069
Barbados,4.664407917431423
Kingdom of Saudi Arabia,4.710211106709072
Ireland,5.769695690699986
Principality of Andorra,5.279750823974609
Republic of Hungary,3.449273007256644
Oriental Republic of Uruguay,6.265410440308707
Federal Republic of Germany,6.6330302102225165
Kingdom of Sweden,5.316375664302281
Kingdom of Belgium,5.223736848149981
United States of America,6.741583739008222
Commonwealth of the Bahamas,4.649975504193987
Kingdom of Spain,5.134691664150783
State of Kuwait,4.801909787314279
French Republic,6.68694235597338
United Kingdom of Great Britain and Northern Ireland,4.6330384356634955
United Arab Emirates,4.251286796161106
Republic of Panama,2.861523057733263
Canada,5.21398731640407
Republic of Trinidad and Tobago,4.612306152071271
Republic of Poland,3.4422914385795593
Antigua and Barbuda,4.622427208083017
Republic of Singapore,3.6739173361233304
Republic of Latvia,2.939314535685948
Sultanate of Oman,4.608462469918387
Japan,3.538699345929282
Italian Republic,5.514035769871303
New Zealand,8.65130887712751
Swiss Confederation,5.345407656260899
Portuguese Republic,5.357599990708487
Republic of Lithuania,2.9189304624285017
Commonwealth of Australia,6.550010357584272
Republic of Slovenia,3.4606230003493175
Republic of Estonia,2.9581259999956404
Republic of Seychelles,3.316502187933241
