country_name,eating_disorders_%
Republic of Korea,0.3595185673662594
Kingdom of Bahrain,0.25567310622760225
Republic of Chile,0.35900856980255674
State of Qatar,0.30328289206538883
Kingdom of Norway,0.5562824649470193
"Nation of Brunei, Abode of Peace",0.5451046824455261
Hellenic Republic,0.5422774649092129
Republic of Iceland,0.5204414278268814
Republic of Finland,0.5685834288597107
Kingdom of Denmark,0.5163531388555255
Republic of Mauritius,0.15862592948334558
Republic of Croatia,0.19852892735174724
Barbados,0.318707355431148
Kingdom of Saudi Arabia,0.2623897487563746
Ireland,0.477485003215926
Principality of Andorra,0.6214800711188998
Republic of Hungary,0.21381242892571858
Oriental Republic of Uruguay,0.3530877168689455
Federal Republic of Germany,0.4962721775685038
Kingdom of Sweden,0.5190086790493557
Kingdom of Belgium,0.5617037841251918
United States of America,0.5136579253843853
Commonwealth of the Bahamas,0.3607007158654077
Kingdom of Spain,0.6646372824907303
State of Kuwait,0.3160022497177124
French Republic,0.5395304667098182
United Kingdom of Great Britain and Northern Ireland,0.5074879292930875
United Arab Emirates,0.2791036782520158
Republic of Panama,0.26378621480294634
Canada,0.4583715019481523
Republic of Trinidad and Tobago,0.3325537496379444
Republic of Poland,0.1941546792430537
Antigua and Barbuda,0.3324578212840216
Republic of Singapore,0.4630352503487042
Republic of Latvia,0.19707174971699715
Sultanate of Oman,0.2436103927237647
Japan,0.44765282209430424
Italian Republic,0.6181293619530541
New Zealand,0.6432345722402845
Swiss Confederation,0.5521625003644398
Portuguese Republic,0.47155928292444776
Republic of Lithuania,0.19763110737715447
Commonwealth of Australia,0.8382704279252461
Republic of Slovenia,0.22076717817357608
Republic of Estonia,0.23115014284849167
Republic of Seychelles,0.17901542889220373
